Sois belle et tais-toi,,ALLÉGRET Marc,1958 / F, / Films E.G.E (Raymond Eger),com. pol.,"Henri Vidal, René Lefèvre, Alain Delon, Jean-Paul Belmondo, Darry Cowl, Robert Dalban, Roger Hanin, François Darbon, Robert Bazil, André Thorent, Marcel Bernier, Charles Bouillaud, Henri Coutet, Lucien Desagneaux, Guy Henry, Jean Juillard, Roger Legris, Jean Minisini, Bernard Musson, André Philip, Jacques Seiler","Mylène Demongeot, Béatrice Altariba, Anne Collette, Gabrielle Fontan, Nicole Jonesco, Suzanne Nivette, ","Bon+B-. Une comédie policière assez alerte et plaisante, un peu à mi-chemin entre la qualité France des années 50 et la liberté à venir de la Nouvelle Vague... Delon et Belmondo dans leur premier rôles côte à côte, une Demongeot piquante, un petit suspense, une jolie mise en scène, et un D. Cowl tordant.
Asstt réal. : Pascal Jardin","Marc Allégret + William Benjamin
Adapt. : Marc Allégret + Odette Joyeux + Gabriel Arout + Jean Marsan + Roger Vadim
Dial. : Jean Marsan"
Abominable homme des douanes (L'),,ALLÉGRET Marc,1963 / F, / Films EGE (,com. pol.,"Darry Cowl, Pierre Brasseur, Francis Blanche, Marcel Dalio, Moustache, Serge Marquand, Nicolas Vogel, André Badin, Jacques Bertrand, Pierre Duncan, Jacques Hilling, Christian Lude, Christian Marin, ","Tania Béryl, Joëlle Latour, ","Bon+. Le petit nanar français des années 60, avec la troupe habituelle (Blanche est le meilleur du lot), et quelques modestes petites drôleries. On se demande ce que le cadet des frères Prévert apporte à l'entreprise, et la réalisation d'Allégret n'est pas non plus remarquable. ",Claude Choublier + Pierre Prévert
Démons de l'aube (Les),,ALLÉGRET Yves,,,,,,,
Orgueilleux (Les),,ALLÉGRET Yves,,,,,,,
DÉDÉE d'ANVERS,,ALLÉGRET Yves,1947 / F,,,,,,
Manèges,,ALLÉGRET Yves,1949 / F, / Films Modernes-Discina,dr. ,"Bernard Blier, Frank Villard, Jacques Baumer, Jean Ozenne, Gabriel Gobin, Fernand Rauzéna, Jean Hébey, Pierre Naugier, Alain Debrus, Jacques Harden, Pierre Leproux, Maurice Derville, ","Simone Signoret, Jane Marken, Laure Diana, Mona Dol, Gisèle François, Diana Bel, Yvonne Rozil, ",B.TB.,Jacques Sigurd
Orgueilleux (Les),,ALLÉGRET Yves,1953 / F - Mexique, / CICC-Reforma Films -Chrysaor Films,dr.,"Gérard Philippe, Carlos Lopez Moctezuma, Victor Manuel, André Toffel, Arturo Soto Rangel, Jaime Fernandez, ","Michèle Morgan, Michèle Cordoue, ",B.,Jean Aurenche + Jean Clouzot + Pierre Bost
OASIS,,ALLÉGRET Yves,1954 / F,,av.,Pierre Brasseur,Michèle Morgan,,
MEILLEURE PART (La),,ALLÉGRET Yves,1955 / F - I,,,,,,
Quand la femme s'en mêle,,ALLÉGRET Yves,1957 / F-I, / Regina-Royal,pol.,"Jean Servais, Bernard Blier, Jean Debucourt, Alain Delon, Jean Lefebvre, Yves Deniaud, Jess Hahn, Michel Jourdan, Pierre Mondy, Bruno Crémer, Henri Cogan, Alain Nobis, Jean-Marie Serreau, Bruno Balp, Henri Coutet, ","Edwige Feuillère, Sophie Daumier, Pascale Roberts, Madeleine Barbulée, Anne-Marie Mersen, Annie Darnis,","Bon+B-. Une séquence de début brillante et percutante, mais le reste est malheureusement moins bien tenu, même si les dialogues tiennent la route tout au long. Une plus grande noirceur aurait été bien plus intéressante, mais l'ensemble garde un certain intérêt historique (c'est probablement une date dans la représentation des truands dans ce monde en évolution des années pré-60) et social.",Charles Spaak + Jean Meckert
Avalanche,Avalanche,ALLEN Corey,1978 / USA, / NewWorld (Roger Corman),av.,"Rock Hudson, Robert Forster, Rick Moses, Steve Franken, Barry Primus, Jerry Douglas, Antony Carbone, Joby Baker, X. Brands, John Cathey, Angelo Lamonea, ","Mia Farrow, Jeanette Nolan, Cathey Paine, Peggy Browne, Pat Egan, Cindy Luedke, ",Bon.,Claude Pola + Corey Allen
Ride him cowboy,,ALLEN Fred,1932 / USA, / WR / Four star (Leon Schlesinger),western,"John Wayne, Henry B. Walthall, Harry Gribbon, Otiis Harlan, Charles Sellon, Frank Hagney, Duyke the devil horse, ","Ruth Hall, ","Bon. La série produite par Four star n'est finalement pas sensiblement meilleure que les Monogram à venir ; peut-être lui reconnaîtra-t-on un scenario ici un peu moins niais... _x0015_
Remake de ""The unknown cavalier"" avec Ken Maynard (1926)",Scott Mason
Beyond the Rockies,,ALLEN Fred,1932 / USA, / RKO Pathé (David O. Selznick),western,"Tom Keene, Julian Rivero, Ernie Adams, Hank Bell, William Welsh, Tom London, Ted Adams, Harry Bowen, Edxard Burns, Ben Corbett, ","Rochelle Hudson, Marie Wells,","Bon. Une histoire de singing cowboy, en vérité Deputy marshall, sans aucun intérêt. Totalement pas écrit ni dirigé, avec un héros sans charisme. On peut à la rigueur retenir un plan intéressant (la mort d’un cowboy en vue subjective, par un flou soudain) et une idée drôle : le pilier de saloon qui déplace la machine à sous pour que durant une bagarre les protagonistes la bousculent et la déclenchent... c’est trop peu quand même, même si tout (ou presque) est tourné dans les Alabama Hills !
Casc. : Yakima Canutt",Oliver Drake
Slaughter trail,,ALLEN Irving,1951 / USA, / RKO / Justal Prod (Irving Allen),western,"Brian Donlevy, Gig Young, Andy Devine, Robert Hutton, Terry Gilkyson, Lew Bedell, Myron Healey, Emmett Lynn, ","Virginia Grey, Robin Fletcher, Lois Hall, Jody Gilbert, ","Bon+B-. Une série B et un curiosité assez intéressante : le récit est commenté en permanence par des chansons (joliment chantées d'ailleurs) qui annoncent ou doublent l'action, à la manière d'un choeur antique. Par contre, le scenario et la réalisation sont d'une grande banalité, se fondant sur des stock-shots où les raccords de paysage sont piétinés sans vergogne ! Autre curiosité, l'absence de Howard Da Silva, originellement héros du film, remplacé complètement (tous les plans ont été retournés) par Donlevy sur une décision de Howard Hughes, après la dénonciation de Da Silva comme sympathisant communiste auprès de la Commision des activités anti-américaines !!!",Sid Kuller
Lost world (The),Monde perdu (Le),ALLEN Irwin,1960 / USA, / Fox- Saratoga (Irwin Allen),av. fantast.,"Michael Rennie, Claude Rains, David Hedison, Fernando Lamas, Richard Haydn, Ray Stricklyn, Jay Novello, Ian Wolfe, Colin Campbell, Larry Chance, Don Forbes, John Graham, ","Jill Saint-John, Vitina Marcus, ",Bon.,I. Allen + Charles Bennett
